Date,City,Route,Mode,DayType,Ridership
2002-05-17,Chicago,Total,Bus,W,991682
2002-05-18,Chicago,Total,Bus,A,638862
2002-05-19,Chicago,Total,Bus,U,419434
2002-05-20,Chicago,Total,Bus,W,994112
2002-05-21,Chicago,Total,Bus,W,1008846
2002-05-22,Chicago,Total,Bus,W,999920
2002-05-23,Chicago,Total,Bus,W,969174
2002-05-24,Chicago,Total,Bus,W,995434
2002-05-25,Chicago,Total,Bus,A,558891
2002-05-26,Chicago,Total,Bus,U,436570
2002-05-27,Chicago,Total,Bus,U,395210
2002-05-28,Chicago,Total,Bus,W,959547
2002-05-29,Chicago,Total,Bus,W,980049
2002-05-30,Chicago,Total,Bus,W,990460
2002-05-31,Chicago,Total,Bus,W,1040502
2002-06-01,Chicago,Total,Bus,A,667264
2002-06-02,Chicago,Total,Bus,U,423135
2002-06-03,Chicago,Total,Bus,W,1001778
2002-06-04,Chicago,Total,Bus,W,915667
2002-06-05,Chicago,Total,Bus,W,1005307
2002-06-06,Chicago,Total,Bus,W,1044279
2002-06-07,Chicago,Total,Bus,W,1036716
2002-06-08,Chicago,Total,Bus,A,649574
2002-06-09,Chicago,Total,Bus,U,446760
2002-06-10,Chicago,Total,Bus,W,944065
2002-06-11,Chicago,Total,Bus,W,969387
2002-06-12,Chicago,Total,Bus,W,986714
2002-06-13,Chicago,Total,Bus,W,967153
2002-06-14,Chicago,Total,Bus,W,980140
2002-06-15,Chicago,Total,Bus,A,644968
2002-06-16,Chicago,Total,Bus,U,456833
2002-06-17,Chicago,Total,Bus,W,980090
2002-06-18,Chicago,Total,Bus,W,996706
2002-06-19,Chicago,Total,Bus,W,992928
2002-06-20,Chicago,Total,Bus,W,975703
2002-06-21,Chicago,Total,Bus,W,979910
2002-06-22,Chicago,Total,Bus,A,634013
2002-06-23,Chicago,Total,Bus,U,444454
2002-06-24,Chicago,Total,Bus,W,884749
2002-06-25,Chicago,Total,Bus,W,926613
2002-06-26,Chicago,Total,Bus,W,879533
2002-06-27,Chicago,Total,Bus,W,914452
2002-06-28,Chicago,Total,Bus,W,934562
2002-06-29,Chicago,Total,Bus,A,636792
2002-06-30,Chicago,Total,Bus,U,441101
2002-07-01,Chicago,Total,Bus,W,948966
2002-07-02,Chicago,Total,Bus,W,955991
2002-07-03,Chicago,Total,Bus,W,1004276
2002-07-04,Chicago,Total,Bus,U,441126
2002-07-05,Chicago,Total,Bus,W,807831
